source_file,docket_number,date,court,reference
2-866-16_2.txt, II. US 866/16,2016-11-24,ConCo, IV. US 2127/12
2-1500-08_1.txt, II. US 1500/08,2008-07-28,ConCo, I US 498/01
2-1500-08_1.txt, II. US 1500/08,2008-07-28,ConCo, II US 2154/07
2-399-14_1.txt, II. US 399/14,2014-03-04,ConCo, III. US 284/2001
2-313-02.txt, II. US 313/02,2002-10-08,ConCo, I. US 12/95
2-553-13_1.txt, II. US 553/13,2013-03-20,ConCo, I. US 394/13
Pl-20-04.txt, Pl. US 20/04,2005-10-25,ConCo, Pl. US 22/92
2-763-13_1.txt, II. US 763/13,2014-04-01,ConCo, I US 4096/12
3-1310-07_1.txt, III. US 1310/07,2007-08-23,ConCo, III. US 727/00
3-1310-07_1.txt, III. US 1310/07,2007-08-23,ConCo, III. US 619/00
1-169-10_1.txt, I. US 169/10,2011-02-03,ConCo, III. US 1295/09
2-1466-08_1.txt, II. US 1466/08,2008-12-04,ConCo, Pl. US 2/2002
4-46-99.txt, IV. US 46/99,2000-04-06,ConCo, Pl US 2/99
4-1456-12_1.txt, IV. US 1456/12,2013-10-15,ConCo, IV. US 1406/12
4-372-03.txt, IV. US 372/03,2004-03-23,ConCo, Pl. US 119/98
1-2180-18_1.txt, I. US 2180/18,2018-08-15,ConCo, II. US 3861/16
1-3040-09_1.txt, I. US 3040/09,2010-01-25,ConCo, II US 361/96
1-502-02.txt, I. US 502/02,2002-10-30,ConCo, II US 158/99
1-311-16_1.txt, I. US 311/16,2016-02-03,ConCo, III. US 4876/12
4-587-01.txt, IV. US 587/01,2002-07-11,ConCo,c.j. IV. US 547/2000
4-444-02.txt, IV. US 444/02,2002-08-26,ConCo, I. US 12/95
2-321-14_1.txt, II. US 321/14,2014-02-19,ConCo, III. US 1021/11
3-1002-15_1.txt, III. US 1002/15,2015-06-11,ConCo, IV. US 136/2005
4-189-05.txt, IV. US 189/05,2005-07-20,ConCo, II. US 558/2004
2-1683-08_1.txt, II. US 1683/08,2009-03-05,ConCo, I. US 489/2005
2-1683-08_1.txt, II. US 1683/08,2009-03-05,ConCo, I. US 717/2005
3-3390-13_1.txt, III. US 3390/13,2014-02-13,ConCo, III. US 466/06
3-3390-13_1.txt, III. US 3390/13,2014-02-13,ConCo, Prip. II. US 644/04
3-79-08_1.txt, III. US 79/08,2008-09-11,ConCo, I. US 534/2003
4-500-02.txt, IV. US 500/02,2002-08-12,ConCo, II. US 193/19
3-777-06_1.txt, III. US 777/06,2007-10-18,ConCo,Sb. n. u. US sv. 15
4-3237-13_1.txt, IV. US 3237/13,2014-02-05,ConCo, I. US 195/13
1-2745-12_1.txt, I. US 2745/12,2012-08-13,ConCo, I. US 863/20
2-937-07_1.txt, II. US 937/07,2007-08-07,ConCo, II. US 150/93
2-247-02.txt, II. US 247/02,2002-10-08,ConCo,US III. US 230/96
4-558-11_1.txt, IV. US 558/11,2011-05-31,ConCo, II US 81/95
2-196-08_1.txt, II. US 196/08,2008-07-16,ConCo, I US 185/2005
2-196-08_1.txt, II. US 196/08,2008-07-16,ConCo, II US 14/2004
4-189-03.txt, IV. US 189/03,2004-03-23,ConCo, Pl. US 119/98
2-289-97.txt, II. US 289/97,1998-07-17,ConCo, IV. US 217/90
1-1110-15_1.txt, I. US 1110/15,2015-08-12,ConCo, III. US 2311/12
2-280-04_1.txt, II. US 280/04,2005-12-06,ConCo, I. US 31/05
2-442-02.txt, II. US 442/02,2002-10-08,ConCo, I. US 12/95
3-1840-08_1.txt, III. US 1840/08,2008-08-14,ConCo, I. US 5643/06
3-88-96.txt, III. US 88/96,1996-05-21,ConCo, III. US 216 / 9
3-3123-13_1.txt, III. US 3123/13,2013-11-07,ConCo, III. US 643/2006
3-1776-08_1.txt, III. US 1776/08,2008-08-15,ConCo, Pl. US - st. 21/05
2-466-17_1.txt, II. US 466/17,2017-07-11,ConCo,C-306/05
3-435-02.txt, III. US 435/02,2002-09-19,ConCo, I. US 12/95
1-2708-17_1.txt, I. US 2708/17,2018-04-10,ConCo, III US 62/95
2-574-99.txt, II. US 574/99,2000-03-29,ConCo, I US 2/93
3-2074-11_1.txt, III. US 2074/11,2011-12-15,ConCo, III. US 466/06
3-304-02.txt, III. US 304/02,2002-08-13,ConCo, I. US 12/95
3-546-12_1.txt, III. US 546/12,2014-11-20,ConCo, I. US 82/07
3-266-15_1.txt, III. US 266/15,2015-02-25,ConCo, IV. US 3540/12
1-453-2000.txt, I. US 453/2000,2001-03-07,ConCo,tli. US 61/94
3-55-04.txt, III. US 55/04,2004-09-14,ConCo, IV. US 238/99 a
1-1965-15_1.txt, I. US 1965/15,2016-01-27,ConCo, III. US 4460/12
2-2423-08_1.txt, II. US 2423/08,2008-09-30,ConCo, Pl. US-9/99
2-179-03.txt, II. US 179/03,2004-04-21,ConCo, Pl. US 119/98
1-1694-13_1.txt, I. US 1694/13,2013-06-06,ConCo, I. US 4747/12
2-1739-08_2.txt, II. US 1739/08,2008-10-29,ConCo, III. US 6/2006
2-1739-08_2.txt, II. US 1739/08,2008-10-29,ConCo, III.US 201/06
