source_file,docket_number,date,court,reference
4-1351-16_1.txt,IV. US 1351/16,2017-04-06,ConCo,7 Afs 129/2015-37
Pl-24-10_1.txt,Pl. US 24/10,2011-03-22,ConCo,ve spojenych vecech Volker und Markus Schecke GbR GbR a Hartmut Eifert v. Land Hessen
1-129-05.txt,I. US 129/05,2006-05-30,ConCo,2 Afs 136/2004-77
1-3082-10_1.txt,I. US 3082/10,2011-03-17,ConCo,rozhodnuti ESLP ve veci Volesky proti Ceske republice Prehled rozsudku ESLP c. 5/2004
2-1809-16_1.txt,II. US 1809/16,2016-09-27,ConCo,3 Af 32/2012-70
1-2584-09_1.txt,I. US 2584/09,2009-12-09,ConCo,5 Afs 29/2004-74
1-49-07_1.txt,I. US 49/07,2008-03-19,ConCo,43 Cad 113/2003-40
2-2574-07_1.txt,II. US 2574/07,2008-03-06,ConCo,42 Cad 224/2005-17
1-602-03.txt,I. US 602/03,2004-05-06,ConCo,10 Az 50/2003
2-490-15_1.txt,II. US 490/15,2017-05-10,ConCo,Pst 17/2007-31
4-1818-12_1.txt,IV. US 1818/12,2012-10-09,ConCo,30 Af 54/2010-265
4-2840-16_1.txt,IV. US 2840/16,2017-03-23,ConCo,10 Afs 18/2015 pod bodem 13
3-2792-13_2.txt,III. US 2792/13,2013-11-21,ConCo,ve veci Volesky proti Ceske republice
2-657-08_2.txt,II. US 657/08,2012-05-16,ConCo,2 Cad 22/2008-52
2-657-08_2.txt,II. US 657/08,2012-05-16,ConCo,4 Ads 143/2009-77
4-426-07_1.txt,IV. US 426/07,2007-05-02,ConCo,Nc 378/2004
1-2256-10_1.txt,I. US 2256/10,2010-10-07,ConCo,4 Ads 45/2003-133
2-2556-10_1.txt,II. US 2556/10,2010-11-04,ConCo,Nc 5344/2005-120
3-19-03.txt,III. US 19/03,2003-10-09,ConCo,Spr 233/2002
4-432-2000.txt,IV. US 432/2000,2001-02-15,ConCo,Nc 1704/99
4-432-2000.txt,IV. US 432/2000,2001-02-15,ConCo,Nc 1704/99-3
4-432-2000.txt,IV. US 432/2000,2001-02-15,ConCo,Nc 1704/99-11
4-1234-09_1.txt,IV. US 1234/09,2012-02-03,ConCo,Nc 12/45
3-682-04.txt,III. US 682/04,2005-01-27,ConCo,7 As 8/2004-128
1-2350-10_1.txt,I. US 2350/10,2010-09-15,ConCo,Nc 97/98-8
3-2906-07_1.txt,III. US 2906/07,2008-03-26,ConCo,21 Cad 16/2004-62
Pl-43-96.txt,Pl. US 43/96,1997-05-13,ConCo,I. S 59/93
2-367-06_1.txt,II. US 367/06,2006-10-12,ConCo,Spr 229/06
1-2-07_1.txt,I. US 2/07,2008-04-08,ConCo,Nc 639/2004-106
1-2-07_1.txt,I. US 2/07,2008-04-08,ConCo,Nc 639/2004-46
4-1811-16_1.txt,IV. US 1811/16,2016-07-29,ConCo,57 Af 29/2014-58
2-521-03_1.txt,II. US 521/03,2005-09-26,ConCo,6 Ads 41/2003-79
