ssource_file,docket_number,date,court,reference,source_file2,date2,court2
4-3542-13_1.txt,IV. US 3542/13,2013-12-04,ConCo,7 Afs 41/2013-8,0041_7Afs_130_20130905100204_prevedeno.txt,2013-08-21,SupAdmCo
4-195-13_1.txt,IV. US 195/13,2014-03-10,ConCo,4 Ads 35/2013-37,0035_4Ads_130_20140129083737_prevedeno.txt,2014-01-23,SupAdmCo
2-2803-15_1.txt,II. US 2803/15,2016-03-22,ConCo,8 Afs 78/2006-74,0078_8Afs_0600074A_prevedeno.txt,2008-05-13,SupAdmCo
2-2803-15_1.txt,II. US 2803/15,2016-03-22,ConCo,8 As 68/2010-81,0068_8As__100_20110103093139_prevedeno.txt,2010-12-29,SupAdmCo
3-3799-16_1.txt,III. US 3799/16,2017-12-05,ConCo,6 Ads 56/2014-15,0056_6Ads_140_20140724152606_prevedeno.txt,2014-07-17,SupAdmCo
4-1351-16_1.txt,IV. US 1351/16,2017-04-06,ConCo,2 Afs 81/2004-54,0081_2Afs_0400054A_prevedeno.txt,2005-11-26,SupAdmCo
3-551-11_1.txt,III. US 551/11,2011-03-16,ConCo,2 Afs 4/2006,0004_2Afs_0600067A_prevedeno.txt,2006-11-18,SupAdmCo
3-551-11_1.txt,III. US 551/11,2011-03-16,ConCo,8 Afs 127/2005,0127_8Afs_0500065A_prevedeno.txt,2007-07-31,SupAdmCo
4-613-06_1.txt,IV. US 613/06,2007-04-18,ConCo,2 As 5/2005-86,0005_2As__0500086A_prevedeno.txt,2005-09-13,SupAdmCo
1-573-06.txt,I. US 573/06,2006-08-31,ConCo,1 As 48/2005-66,0048_1As__0500066A_prevedeno.txt,2006-05-10,SupAdmCo
Pl-14-08_1.txt,Pl. US 14/08,2010-11-18,ConCo,2 Ao 3/2010,0003_2Ao__1000_ba9406fe_8822_49ec_8236_492b80dc791b_prevedeno.txt,2010-08-06,SupAdmCo
Pl-14-08_1.txt,Pl. US 14/08,2010-11-18,ConCo,4 Ao 1/2009,0001_4Ao__0900058A_prevedeno.txt,2009-05-29,SupAdmCo
1-2547-15_1.txt,I. US 2547/15,2016-01-28,ConCo,8 Aps 2/2006-95,0002_8Aps_0600095A_prevedeno.txt,2006-07-31,SupAdmCo
3-2240-09_2.txt,III. US 2240/09,2010-10-14,ConCo,7 Afs 62/2008-76,0062_7Afs_0800076A_prevedeno.txt,2009-03-31,SupAdmCo
3-744-10_1.txt,III. US 744/10,2010-10-14,ConCo,6 Ads 41/2008-67,0041_6Ads_0800067A_prevedeno.txt,2009-11-07,SupAdmCo
3-3551-13_1.txt,III. US 3551/13,2014-03-13,ConCo,3 Ads 24/2008-119,0024_3Ads_0800119A_prevedeno.txt,2008-08-06,SupAdmCo
2-1809-16_1.txt,II. US 1809/16,2016-09-27,ConCo,4 Afs 22/2015-104,0022_4Afs_1500104_20160119115826_prevedeno.txt,2016-01-07,SupAdmCo
3-791-08_1.txt,III. US 791/08,2008-04-10,ConCo,9 Afs 86/2007,0086_9Afs_0700183A_prevedeno.txt,2008-03-19,SupAdmCo
1-49-07_1.txt,I. US 49/07,2008-03-19,ConCo,6 Ads 73/2004-7,0073_6Ads_0400072A_prevedeno.txt,2006-09-27,SupAdmCo
2-2574-07_1.txt,II. US 2574/07,2008-03-06,ConCo,3 Ads 54/2007-24,0054_3Ads_0700024A_prevedeno.txt,2007-09-05,SupAdmCo
2-2574-07_1.txt,II. US 2574/07,2008-03-06,ConCo,Ads 6/2005-57,0006_3Ads_0500057A_prevedeno.txt,2005-09-01,SupAdmCo
3-2506-17_1.txt,III. US 2506/17,2017-09-05,ConCo,6 As 231/2016-40,0231_6As__1600040_20170404141656_prevedeno.txt,2017-03-22,SupAdmCo
1-2987-07_1.txt,I. US 2987/07,2008-04-09,ConCo,2 Afs 205/2006,0205_2Afs_0600073A_prevedeno.txt,2007-11-04,SupAdmCo
2-2853-14_1.txt,II. US 2853/14,2014-10-07,ConCo,2 As 25/2007-118,0025_2As__0700118A_prevedeno.txt,2009-02-17,SupAdmCo
