source_file,docket_number,date,court,reference,source_file2,date2,court2
2-19-16_1.txt, II. US 19/16, 2016-08-01,ConCo,Cpjn 206/2010,rozhodnuti-Cpjn_206_2010.txt,2011-04-13,SupCo
2-680-06_1.txt, II. US 680/06, 2007-04-19,ConCo,30 Cdo 85/2005,rozhodnuti-30_Cdo_85_2005.txt,2005-02-22,SupCo
2-427-06_1.txt, II. US 427/06, 2007-07-26,ConCo,3 Tdo 348/2006,rozhodnuti-3_Tdo_348_2006.txt,2006-04-05,SupCo
2-300-06.txt, II. US 300/06, 2006-07-26,ConCo,30 Cdo 1383/2005,rozhodnuti-30_Cdo_1383_2005.txt,2005-07-12,SupCo
4-546-03.txt, IV. US 546/03, 2005-11-23,ConCo,22 Cdo 1469/2003,rozhodnuti-22_Cdo_1469_2003.txt,2003-08-04,SupCo
2-428-18_1.txt, II. US 428/18, 2018-04-03,ConCo,7 Tdo 1382/2013,rozhodnuti-7_Tdo_1382_2013.txt,2013-12-18,SupCo
4-3733-16_1.txt, IV. US 3733/16, 2017-07-25,ConCo,29 Cdo 4602/2007,rozhodnuti-29_Cdo_4602_2007.txt,2008-10-29,SupCo
2-510-14_1.txt, II. US 510/14, 2014-09-30,ConCo,Cpjn 206/2010,rozhodnuti-Cpjn_206_2010.txt,2011-04-13,SupCo
2-510-14_1.txt, II. US 510/14, 2014-09-30,ConCo,30 Cdo 3026/2009,rozhodnuti-30_Cdo_3026_2009.txt,2010-10-21,SupCo
3-161-05.txt, III. US 161/05, 2005-06-08,ConCo,22 Cdo 402/2004,rozhodnuti-22_Cdo_402_2004.txt,2004-12-21,SupCo
2-175-15_1.txt, II. US 175/15, 2016-03-23,ConCo,25 Cdo 886/2004,rozhodnuti-25_Cdo_886_2004.txt,2005-01-26,SupCo
2-175-15_1.txt, II. US 175/15, 2016-03-23,ConCo,23 Cdo 2668/2009,rozhodnuti-23_Cdo_2668_2009.txt,2009-08-04,SupCo
2-175-15_1.txt, II. US 175/15, 2016-03-23,ConCo,32 Cdo 1658/2009,rozhodnuti-32_Cdo_1658_2009.txt,2010-04-20,SupCo
2-272-05.txt, II. US 272/05, 2006-05-23,ConCo,20 Cdo 1827/99,rozhodnuti-20_Cdo_1827_99.txt,1999-10-27,SupCo
1-203-14_1.txt, I. US 203/14, 2014-02-19,ConCo,20 Cdo 3256/2013,rozhodnuti-20_Cdo_3256_2013.txt,2013-10-30,SupCo
1-1536-11_2.txt, I. US 1536/11, 2011-09-21,ConCo,30 Cdo 958/2009,rozhodnuti-30_Cdo_958_2009.txt,2010-09-23,SupCo
1-1536-11_2.txt, I. US 1536/11, 2011-09-21,ConCo,30 Cdo 3026/2009,rozhodnuti-30_Cdo_3026_2009.txt,2010-10-21,SupCo
2-29-16_1.txt, II. US 29/16, 2016-01-19,ConCo,25 Cdo 162/2003,rozhodnuti-25_Cdo_162_2003.txt,2003-05-27,SupCo
2-1466-08_1.txt, II. US 1466/08, 2008-12-04,ConCo,22 Cdo 2205/2005,rozhodnuti-22_Cdo_2205_2005.txt,2006-08-28,SupCo
4-1502-16_1.txt, IV. US 1502/16, 2016-07-19,ConCo,21 Cdo 3182/2014,rozhodnuti-21_Cdo_3182_2014.txt,2014-10-23,SupCo
4-1502-16_1.txt, IV. US 1502/16, 2016-07-19,ConCo,21 Cdo 4599/2014,rozhodnuti-21_Cdo_4599_2014.txt,2015-03-18,SupCo
4-1502-16_1.txt, IV. US 1502/16, 2016-07-19,ConCo,26 Cdo 1179/2015,rozhodnuti-26_Cdo_1179_2015.txt,2015-04-23,SupCo
4-1502-16_1.txt, IV. US 1502/16, 2016-07-19,ConCo,26 Cdo 4435/2015,rozhodnuti-26_Cdo_4435_2015.txt,2015-11-02,SupCo
3-3748-15_1.txt, III. US 3748/15, 2016-07-19,ConCo,21 Cdo 2682/2013,rozhodnuti-21_Cdo_2682_2013.txt,2014-06-26,SupCo
1-541-10_1.txt, I. US 541/10, 2010-04-28,ConCo,7 Tz 290/2000,rozhodnuti-7_Tz_290_2000.txt,2001-01-24,SupCo
1-541-10_1.txt, I. US 541/10, 2010-04-28,ConCo,11 Tdo 127/2007,rozhodnuti-11_Tdo_127_2007.txt,2007-06-26,SupCo
1-541-10_1.txt, I. US 541/10, 2010-04-28,ConCo,7 Tdo 475/2006,rozhodnuti-7_Tdo_475_2006.txt,2006-05-16,SupCo
4-2533-07_1.txt, IV. US 2533/07, 2008-07-21,ConCo,20 Cdo 1591/2004,rozhodnuti-20_Cdo_1591_2004.txt,2005-05-26,SupCo
4-1309-10_1.txt, IV. US 1309/10, 2010-09-06,ConCo,20 Cdo 3080/2007,rozhodnuti-20_Cdo_3080_2007.txt,2008-07-29,SupCo
1-193-10_1.txt, I. US 193/10, 2010-04-13,ConCo,28 Cdo 3042/2006,rozhodnuti-28_Cdo_3042_2006.txt,2007-06-11,SupCo
4-1211-15_1.txt, IV. US 1211/15, 2015-07-30,ConCo,30 Cdo 1681/2014,rozhodnuti-30_Cdo_1681_2014.txt,2014-09-09,SupCo
3-4644-12_1.txt, III. US 4644/12, 2013-04-11,ConCo,29 Cdo 686/2007,rozhodnuti-29_Cdo_686_2007.txt,2009-06-25,SupCo
3-4644-12_1.txt, III. US 4644/12, 2013-04-11,ConCo,22 Cdo 1439/2000,rozhodnuti-22_Cdo_1439_2000.txt,2001-08-30,SupCo
3-4644-12_1.txt, III. US 4644/12, 2013-04-11,ConCo,22 Cdo 2470/2000,rozhodnuti-22_Cdo_2470_2000.txt,2000-11-16,SupCo
3-4644-12_1.txt, III. US 4644/12, 2013-04-11,ConCo,22 Cdo 1717/2000,rozhodnuti-22_Cdo_1717_2000.txt,2002-04-02,SupCo
3-4644-12_1.txt, III. US 4644/12, 2013-04-11,ConCo,22 Cdo 684/2004,rozhodnuti-22_Cdo_684_2004.txt,2004-09-27,SupCo
3-4644-12_1.txt, III. US 4644/12, 2013-04-11,ConCo,22 Cdo 680/2009,rozhodnuti-22_Cdo_680_2009.txt,2009-07-01,SupCo
1-708-14_1.txt, I. US 708/14, 2014-06-26,ConCo,29 Cdo 990/2007,rozhodnuti-29_Cdo_990_2007.txt,2009-05-27,SupCo
3-1898-07_1.txt, III. US 1898/07, 2008-05-14,ConCo,22 Cdo 46/2004,rozhodnuti-22_Cdo_46_2004.txt,2004-03-17,SupCo
3-2321-07_1.txt, III. US 2321/07, 2007-10-05,ConCo,26 Cdo 1990/2005,rozhodnuti-26_Cdo_1990_2005.txt,2006-05-25,SupCo
3-2321-07_1.txt, III. US 2321/07, 2007-10-05,ConCo,26 Cdo 2375/2005,rozhodnuti-26_Cdo_2375_2005.txt,2006-01-26,SupCo
1-3873-17_1.txt, I. US 3873/17, 2018-03-14,ConCo,20 Cdo 4038/2017,rozhodnuti-20_Cdo_4038_2017.txt,2017-10-03,SupCo
1-3873-17_1.txt, I. US 3873/17, 2018-03-14,ConCo,30 Cdo 4051/2011,rozhodnuti-30_Cdo_4051_2011.txt,2012-10-31,SupCo
1-3873-17_1.txt, I. US 3873/17, 2018-03-14,ConCo,20 Cdo 3574/2016,rozhodnuti-20_Cdo_3574_2016.txt,2016-09-29,SupCo
3-103-16_1.txt, III. US 103/16, 2016-09-27,ConCo,30 Cdo 4023/2010,rozhodnuti-30_Cdo_4023_2010.txt,2011-08-31,SupCo
2-1056-16_1.txt, II. US 1056/16, 2017-01-17,ConCo,31 Cdo 1945/2010,rozhodnuti-31_Cdo_1945_2010.txt,2011-05-11,SupCo
2-1056-16_1.txt, II. US 1056/16, 2017-01-17,ConCo,31 Cdo 958/2012,rozhodnuti-31_Cdo_958_2012.txt,2013-07-10,SupCo
1-2625-07_1.txt, I. US 2625/07, 2007-12-12,ConCo,21 Cdo 2623/2006,rozhodnuti-21_Cdo_2623_2006.txt,2007-06-26,SupCo
1-2625-07_1.txt, I. US 2625/07, 2007-12-12,ConCo,21 Cdo 2721/2006,rozhodnuti-21_Cdo_2721_2006.txt,2007-06-26,SupCo
1-2625-07_1.txt, I. US 2625/07, 2007-12-12,ConCo,21 Cdo 2722/2006,rozhodnuti-21_Cdo_2722_2006.txt,2007-06-26,SupCo
1-2625-07_1.txt, I. US 2625/07, 2007-12-12,ConCo,21 Cdo 2723/2006,rozhodnuti-21_Cdo_2723_2006.txt,2007-06-26,SupCo
4-1074-15_1.txt, IV. US 1074/15, 2015-05-11,ConCo,29 ICdo 34/2013,rozhodnuti-29_ICdo_34_2013.txt,2013-09-26,SupCo
2-321-14_1.txt, II. US 321/14, 2014-02-19,ConCo,21 Cdo 3945/2011,rozhodnuti-21_Cdo_3945_2011.txt,2012-11-14,SupCo
4-2975-09_1.txt, IV. US 2975/09, 2010-09-06,ConCo,11 Tdo 238/2008,rozhodnuti-11_Tdo_238_2008.txt,2008-08-14,SupCo
4-1759-18_1.txt, IV. US 1759/18, 2018-09-18,ConCo,28 Cdo 1443/2015,rozhodnuti-28_Cdo_1443_2015.txt,2016-05-02,SupCo
3-3491-14_1.txt, III. US 3491/14, 2015-03-05,ConCo,33 Cdo 3164/2013,rozhodnuti-33_Cdo_3164_2013.txt,2013-10-31,SupCo
3-3491-14_1.txt, III. US 3491/14, 2015-03-05,ConCo,33 Cdo 1405/2014,rozhodnuti-33_Cdo_1405_2014.txt,2014-05-20,SupCo
3-3491-14_1.txt, III. US 3491/14, 2015-03-05,ConCo,32 Cdo 846/2014,rozhodnuti-32_Cdo_846_2014.txt,2014-08-12,SupCo
3-3491-14_1.txt, III. US 3491/14, 2015-03-05,ConCo,25 Cdo 1604/2014,rozhodnuti-25_Cdo_1604_2014.txt,2014-08-26,SupCo
3-3491-14_1.txt, III. US 3491/14, 2015-03-05,ConCo,30 Cdo 2707/2013,rozhodnuti-30_Cdo_2707_2013.txt,2014-02-05,SupCo
3-3491-14_1.txt, III. US 3491/14, 2015-03-05,ConCo,21 Cdo 1529/2014,rozhodnuti-21_Cdo_1529_2014.txt,2014-05-22,SupCo
1-1186-11_1.txt, I. US 1186/11, 2011-09-20,ConCo,30 Cdo 739/2007,rozhodnuti-30_Cdo_739_2007.txt,2007-04-30,SupCo
4-332-10_1.txt, IV. US 332/10, 2010-06-28,ConCo,20 Cdo 3160/2007,rozhodnuti-20_Cdo_3160_2007.txt,2009-10-15,SupCo
3-1406-14_1.txt, III. US 1406/14, 2014-04-29,ConCo,22 Cdo 5023/2008,rozhodnuti-22_Cdo_5023_2008.txt,2010-09-16,SupCo
3-1680-10_1.txt, III. US 1680/10, 2010-07-29,ConCo,21 Cdo 3090/2008,rozhodnuti-21_Cdo_3090_2008.txt,2009-04-29,SupCo
3-681-05.txt, III. US 681/05, 2006-03-07,ConCo,20 Cdo 1418/2002,rozhodnuti-20_Cdo_1418_2002.txt,2002-11-28,SupCo
1-425-07_1.txt, I. US 425/07, 2007-07-31,ConCo,11 Tdo 1237/2006,rozhodnuti-11_Tdo_1237_2006.txt,2006-10-20,SupCo
4-3092-17_1.txt, IV. US 3092/17, 2017-11-29,ConCo,29 Cdo 3899/2015,rozhodnuti-29_Cdo_3899_2015.txt,2016-04-20,SupCo
1-3249-16_1.txt, I. US 3249/16, 2017-04-04,ConCo,28 Cdo 3147/2015,rozhodnuti-28_Cdo_3147_2015.txt,2016-06-30,SupCo
