source_file,docket_number,date,court,reference
2-866-16_2.txt,II. US 866/16,2016-11-24,ConCo,sp. zn. 8 Co 2017/2014     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,40066/07     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,36038/09 a 47155/09     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,a v casopise Soudni judikatura - Prehled rozsudku Evropskeho soudu pro lidska prava 3/2013     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,ve veci Micallef proti Malte     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,stiznost c. 17056/06     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,ve veci Udorovic proti Italii stiznost c. 38532/02    
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,ve veci K??bler proti Nemecku stiznost c. 32715/06    
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,ve veci ?†tokalo proti Chorvatsku     
3-569-15_1.txt,III. US 569/15,2015-09-15,ConCo,stiznost c. 22632/07     
2-1625-13_1.txt,II. US 1625/13,2013-10-24,ConCo,c. j. 12 Co 12/2011-345 a rozsudek Okresniho soudu v Usti nad Labem     
1-289-98.txt,I. US 289/98,1999-08-25,ConCo,Sbirka nalezu a usneseni - svazek 11     
2-507-14_1.txt,II. US 507/14,2014-06-10,ConCo,c. 98     
2-1500-08_1.txt,II. US 1500/08,2008-07-28,ConCo,publikovany v casopise Spravni pravo - Vyber rozhodnuti c. 44/1994     
4-1998-16_1.txt,IV. US 1998/16,2016-07-28,ConCo,ve veci Kiousi proti Recku c. 52036/09     
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,US sv. 22 nalez c. 79   
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,US sv. 22    
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,c. 75     
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,US sv. 34    
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,c. 130     
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,US sv. 32 nalez c. 27   
4-784-05.txt,IV. US 784/05,2006-01-25,ConCo,sv. 33 c. 69     
4-27-09_1.txt,IV. US 27/09,2009-09-11,ConCo,c. j. 4 Cmo 34/2003-83 a c. j. 4 Cmo 162/2007-132     
1-215-96.txt,I. US 215/96,1997-09-17,ConCo,c.j. FU-II-1044/PV-176/1994     
1-215-96.txt,I. US 215/96,1997-09-17,ConCo,c.j. FR-7014/1/94     
2-532-02.txt,II. US 532/02,2003-10-03,ConCo,ve veci stiznosti c. 46129/99 a c. 47273/99     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ve veci Apicella proti Italii     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ve veci Martins Castro a Alves Correia de Castro proti Portugalsku     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,c. 33729/06     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,153/2004 Sb.     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,c. 63627/00     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,a ve veci Jahnova proti Ceske republice     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,c. 66448/01     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ve veci Nolan a K. proti Rusku     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,c. 2512/04     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ve veci Ilbeyi Kemaloglu and Meriye Kemaloglu proti Turecku     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ci ve veci Pontes proti Portugalsku     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ve veci Szeloch proti Polsku     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,rozsudek ve veci Cherakrak proti Francii     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,ve veci Berlin proti Lucembursku     
2-19-16_1.txt,II. US 19/16,2016-08-01,ConCo,c. 44978/98     
2-313-02.txt,II. US 313/02,2002-10-08,ConCo,sp. zn. 14 C 460/2001     
4-3541-10_1.txt,IV. US 3541/10,2011-03-21,ConCo,c. 111     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,153/2004 Sb.     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,c. 65195/01     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,ve veci Zamecnikova a Zamecnik     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,c. 16226/04     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,ve veci Wierciszewska proti Polsku     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,c. 41431/98     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,ci Yurtayev proti Ukrajine     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,c. 11336/02     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,ve veci Atanasova proti Bulharsku     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,c. 72001/01     
1-2500-17_1.txt,I. US 2500/17,2017-10-17,ConCo,Arvanitaki - Roboti a dalsi proti Recku a Kakamoukas a dalsi proti Recku     
4-401-13_1.txt,IV. US 401/13,2013-02-26,ConCo,Evropskeho soudu pro lidska prava Eremiasova a Pechova proti CR     
4-401-13_1.txt,IV. US 401/13,2013-02-26,ConCo,stiznost c. 23944/04     
4-424-03.txt,IV. US 424/03,2004-01-29,ConCo,publikovaneho pod c. 32/2003 Sb.     
4-424-03.txt,IV. US 424/03,2004-01-29,ConCo,cj. 1 Co 233/2002-74     
1-340-09_1.txt,I. US 340/09,2009-02-24,ConCo,ve veci.     
4-1077-07_1.txt,IV. US 1077/07,2007-11-21,ConCo,Sb. n. u. sv. 25     
4-1077-07_1.txt,IV. US 1077/07,2007-11-21,ConCo,Sb. n. u. sv. 3 str. 45    
4-1077-07_1.txt,IV. US 1077/07,2007-11-21,ConCo,Sb. n. u. sv. 22     
Pl-20-95.txt,Pl. US 20/95,1995-07-31,ConCo,cj. KP/406/53/95/Fr     
4-724-02.txt,IV. US 724/02,2003-03-14,ConCo,ve veci stiznosti c. 46129/99 a c. 47273/99     
4-174-04.txt,IV. US 174/04,2005-02-09,ConCo,A-24     
4-2245-08_1.txt,IV. US 2245/08,2008-11-26,ConCo,Sanocki proti Polsku     
2-300-06.txt,II. US 300/06,2006-07-26,ConCo,Broniowski proti Polsku 31443/96    
2-300-06.txt,II. US 300/06,2006-07-26,ConCo,vyhlasen pod c. 278/2004 Sb.     
2-300-06.txt,II. US 300/06,2006-07-26,ConCo,vyhlasen pod c. 409/2006 Sb.     
2-300-06.txt,II. US 300/06,2006-07-26,ConCo,vyhlasen pod c. 86/1994 Sb.     
4-1650-10_1.txt,IV. US 1650/10,2010-09-14,ConCo,c.j. 13 Co 134/2002-31     
Pl-8-17_1.txt,Pl. US 8/17,2017-09-05,ConCo,publikovano pod c. 52/2014 Sb.     
1-366-06_1.txt,I. US 366/06,2007-05-17,ConCo,sp. zn. III.US 645/99     
1-366-06_1.txt,I. US 366/06,2007-05-17,ConCo,sp. zn. II.US 251/2000     
2-1603-15_1.txt,II. US 1603/15,2015-12-08,ConCo,153/2004 Sb.     
4-2634-09_1.txt,IV. US 2634/09,2009-12-07,ConCo,sp. zn. 29 Odo 208/2003     
1-2072-10_1.txt,I. US 2072/10,2011-02-24,ConCo,c. j. 42 Co 124/2010-44     
2-714-01.txt,II. US 714/01,2003-10-03,ConCo,ve veci stiznosti c. 46129/99 a c. 47273/99     
4-3112-14_1.txt,IV. US 3112/14,2014-12-09,ConCo,Glaser proti Spojenemu kralovstvi c. 32346/96    
4-3112-14_1.txt,IV. US 3112/14,2014-12-09,ConCo,c. 9929/12     
1-2839-16_1.txt,I. US 2839/16,2016-09-14,ConCo,Ustavni soud Ceske republiky: Sbirka nalezu a usneseni - sv. 1     
