source_file,docket_number,date,court,reference
0096_1Afs_1600028_20160530144920_prevedeno.txt,1 Afs 96/2016 - 28,2016-05-25,SupAdmCo, Pl. US 38/1995
0098_5As__1700010_20170418103213_prevedeno.txt,5 As 98/2017 - 10,2017-04-12,SupAdmCo, II. US 3748/14
0098_5As__1700010_20170418103213_prevedeno.txt,5 As 98/2017 - 10,2017-04-12,SupAdmCo, III. US 3747/14
0098_9Afs_0700101A_prevedeno.txt,9 Afs 98/2007 - 101,2008-11-20,SupAdmCo, I US 2345/07
0098_9Afs_0700101A_prevedeno.txt,9 Afs 98/2007 - 101,2008-11-20,SupAdmCo, I. US 447/2000 a I. US 448/2000
0058_4As__0700108A_prevedeno.txt,4 As 58/2007 - 108,2008-02-27,SupAdmCo,US?˜/1649/05/Ko
0255_5As__1500058_20160601084053_prevedeno.txt,5 As 255/2015 - 58,2016-05-26,SupAdmCo,US Pl. US 56/10
0040_9As__1400050_20150602085951_prevedeno.txt,9 As 40/2014 - 50,2015-05-28,SupAdmCo, Pl. US 22/1992
0044_5Afs_0600066A_prevedeno.txt,5 Afs 44/2006 - 66,2006-11-11,SupAdmCo, Pl US 54/2000
0080_3Ads_0900_b2e4e4b6_5c0c_4386_bedf_93cb84087da3_prevedeno.txt,3 Ads 80/2009 - 132,2010-09-22,SupAdmCo, I. US 1375/09
0059_8As__1500045_20150709143834_prevedeno.txt,8 As 59/2015 - 45,2015-07-07,SupAdmCo, III. US 3747/14
0037_8Afs_0500126A_prevedeno.txt,8 Afs 37/2005 - 126,2007-02-28,SupAdmCo,ve veci II. US 221/98
0030_7Azs_0600051A_prevedeno.txt,7 Azs 30/2006 - 51,2006-05-04,SupAdmCo, III US 84/94
0089_0Nad_1600009_20160524101608_prevedeno.txt,Nad 89/2016 - 9,2016-05-04,SupAdmCo,zn. III. US 441/03
0013_9Afs_1000_20101011084204_prevedeno.txt,9 Afs 13/2010 - 73,2010-11-06,SupAdmCo, III. US 158/1999
0019_7Afs_1000_6726c8ab_ad78_4664_9226_df98291e4cdb_prevedeno.txt,7 Afs 19/2010 - 129,2010-07-01,SupAdmCo, I US 2345/07
0140_9As__1600046_20161212100333_prevedeno.txt,9 As 140/2016 - 46,2016-12-08,SupAdmCo, II US 2164/10
0056_1Afs_0700107A_prevedeno.txt,Spis 1 Afs 56/2007 byl spojen se spisem Ä­slo 1 Afs 118/2006 a pod touto spisovou znakou,2007-09-19,SupAdmCo, II US 94/96
0009_2Azs_1600035_20160720120944_prevedeno.txt,2 Azs 9/2016 - 35,2016-07-14,SupAdmCo, Pl. US 493/15
0001_7Ao__0900056A_prevedeno.txt,7 Ao 1/2009 - 56,2009-08-26,SupAdmCo, Pl.US 14/07
0088_6As__130_20130719123912_prevedeno.txt,6 As 88/2013 - 9,2013-06-26,SupAdmCo, III. US 3747/14
0084_1Afs_13_20131105110538_prevedeno.txt,1 Afs 84/2013 - 38,2013-11-23,SupAdmCo, Pl. US 6/12
0004_3Ads_0900044A_prevedeno.txt,3 Ads 4/2009 - 44,2009-05-14,SupAdmCo, IV US 690/01
0146_5As__1600014_20170117100753_prevedeno.txt,5 As 146/2016 - 14,2017-01-12,SupAdmCo, III US 156/05
0057_3Ads_1000_7333fb42_b1a1_4627_915c_bec7f218d675_prevedeno.txt,3 Ads 57/2010 - 115,2010-09-01,SupAdmCo, I. US 111/1996
0014_0Nad_1600034_20160210080848_prevedeno.txt,Nad 14/2016 - 34,2016-02-04,SupAdmCo, II US 218/97
0014_0Nad_1600034_20160210080848_prevedeno.txt,Nad 14/2016 - 34,2016-02-04,SupAdmCo, IV US 466/97
0071_7Afs_120_20121126115709_prevedeno.txt,7 Afs 71/2012 - 52,2012-11-25,SupAdmCo, II. US 664/2004
0240_6As__1400014_20141113094608_prevedeno.txt,6 As 240/2014 - 14,2014-11-11,SupAdmCo, II. US 3748/14
0001_6Ans_0400070A_prevedeno.txt, 6 Ans 1/2004 - 70,2005-06-29,SupAdmCo,zn. US?˜/1584/2003/? k
0034_5Afs_130_20131010115049_prevedeno.txt,5 Afs 34/2013 - 24,2013-09-23,SupAdmCo, Pl. US 6/2012
0075_5Afs_130_20140128163400_prevedeno.txt,5 Afs 75/2013 - 32,2014-01-17,SupAdmCo, Pl. US 6/2012
0067_7Afs_0800059A_prevedeno.txt,7 Afs 67/2008 - 59,2009-01-08,SupAdmCo, I US 512/02
