source_file,docket_number,date,court,reference,source_file2,date2,court2
0122_6As__14_20140728142544_prevedeno.txt,6 As 122/2014 - 17,2014-07-17,SupAdmCo, IV. US 2265/13,4-2265-13_1.txt,2014-04-24,ConCo
0122_6As__14_20140728142544_prevedeno.txt,6 As 122/2014 - 17,2014-07-17,SupAdmCo, IV. US 644/13,4-644-13_1.txt,2014-04-24,ConCo
0122_6As__14_20140728142544_prevedeno.txt,6 As 122/2014 - 17,2014-07-17,SupAdmCo, I. US 2056/12,1-2056-12_1.txt,2012-11-20,ConCo
0088_9Afs_12_20131014155431_prevedeno.txt,9 Afs 88/2012 - 43,2013-09-18,SupAdmCo, I. US 1169/07,1-1169-07_1.txt,2009-02-26,ConCo
0096_1Afs_1600028_20160530144920_prevedeno.txt,1 Afs 96/2016 - 28,2016-05-25,SupAdmCo, Pl. US 38/95,Pl-38-95.txt,1996-04-24,ConCo
0248_5Afs_0400067A_prevedeno.txt,5 Afs 248/2004 - 67,2005-11-24,SupAdmCo, Pl. US 54/2000,Pl-54-2000.txt,2001-01-23,ConCo
019410As__1400009_prevedeno.txt,6 As 34/2007 - 82,2008-05-15,SupAdmCo, Pl. US 9/94,Pl-9-94.txt,1994-09-13,ConCo
005710Azs_1600025_20160427101113_prevedeno.txt,10 Azs 57/2016 - 25,2016-04-14,SupAdmCo, Pl. US 2/07,Pl-2-07_1.txt,2007-11-13,ConCo
0098_5As__1700010_20170418103213_prevedeno.txt,5 As 98/2017 - 10,2017-04-12,SupAdmCo, III. US 4255/12,3-4255-12_1.txt,2012-11-14,ConCo
0098_5As__1700010_20170418103213_prevedeno.txt,5 As 98/2017 - 10,2017-04-12,SupAdmCo, I. US 3150/13,1-3150-13_1.txt,2013-10-22,ConCo
0045_1Afs_0500040A_prevedeno.txt,1 Afs 45/2005-40,2006-05-10,SupAdmCo, I. US 544/02,1-544-02.txt,2005-04-07,ConCo
0045_1Afs_0500040A_prevedeno.txt,1 Afs 45/2005-40,2006-05-10,SupAdmCo, III. US 648/04,3-648-04.txt,2005-07-28,ConCo
0045_1Afs_0500040A_prevedeno.txt,1 Afs 45/2005-40,2006-05-10,SupAdmCo, III. US 129/98,3-129-98.txt,1998-07-21,ConCo
0027_6Afs_1700039_20170308084015_prevedeno.txt,6 Afs 27/2017 - 39,2017-02-22,SupAdmCo, I. US 148/02,1-148-02.txt,2003-08-27,ConCo
0037_2As__0500070A_prevedeno.txt,2 As 37/2005 - 70,2006-05-03,SupAdmCo, IV. US 161/99,4-161-99.txt,1999-09-24,ConCo
0062_7Afs_100_20110526105618_prevedeno.txt,7 Afs 62/2010 - 172,2011-04-29,SupAdmCo, III. US 2357/10,3-2357-10_1.txt,2010-09-30,ConCo
0062_7Afs_100_20110526105618_prevedeno.txt,7 Afs 62/2010 - 172,2011-04-29,SupAdmCo, I. US 1835/07,1-1835-07_1.txt,2008-11-18,ConCo
0062_7Afs_100_20110526105618_prevedeno.txt,7 Afs 62/2010 - 172,2011-04-29,SupAdmCo, IV. US 301/05,4-301-05_2.txt,2007-11-13,ConCo
0062_7Afs_100_20110526105618_prevedeno.txt,7 Afs 62/2010 - 172,2011-04-29,SupAdmCo, I. US 1611/07,1-1611-07_1.txt,2008-12-02,ConCo
0018_9Afs_0800085A_prevedeno.txt,9 Afs 18/2008 - 85,2009-01-29,SupAdmCo, II. US 599/02,2-599-02.txt,2004-11-23,ConCo
0018_9Afs_0800085A_prevedeno.txt,9 Afs 18/2008 - 85,2009-01-29,SupAdmCo, IV. US 390/01,4-390-01.txt,2001-08-29,ConCo
0018_9Afs_0800085A_prevedeno.txt,9 Afs 18/2008 - 85,2009-01-29,SupAdmCo, IV. US 705/2000,4-705-2000.txt,2001-02-27,ConCo
0005_0Pst_090_20101221025343_prevedeno.txt, Pst 5/2009 - 33,2010-12-20,SupAdmCo, Pl. US 26/94,Pl-26-94.txt,1995-10-18,ConCo
0011_6Ads_120_20120611044547_prevedeno.txt,6 Ads 11/2012 - 36,2012-05-17,SupAdmCo, III. US 3386/09,3-3386-09_1.txt,2010-07-29,ConCo
0202_4As__1600021_20161102093712_prevedeno.txt,4 As 202/2016 - 21,2016-11-25,SupAdmCo, II. US 2083/15,2-2083-15_1.txt,2015-08-11,ConCo
0202_4As__1600021_20161102093712_prevedeno.txt,4 As 202/2016 - 21,2016-11-25,SupAdmCo, II. US 2240/13,2-2240-13_1.txt,2014-03-04,ConCo
0162_5Afs_0500081A_prevedeno.txt,5 Afs 162/2005 - 81,2006-06-19,SupAdmCo, Pl. US 54/2000,Pl-54-2000.txt,2001-01-23,ConCo
0022_1As__0600099A_prevedeno.txt,1 As 22/2006 - 99,2006-11-04,SupAdmCo, III. US 84/94,3-84-94.txt,1995-06-20,ConCo
0022_1As__0600099A_prevedeno.txt,1 As 22/2006 - 99,2006-11-04,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0008_8Aps_130_20131003090808_prevedeno.txt,8 Aps 8/2013 - 10,2013-09-10,SupAdmCo, I. US 1131/11,1-1131-11_1.txt,2011-05-11,ConCo
0055_6As__1400043_20150126101655_prevedeno.txt,6 As 55/2014 - 43,2015-01-22,SupAdmCo, III. US 2581/14,3-2581-14_1.txt,2014-09-11,ConCo
0032_1Afs_0700052A_prevedeno.txt,1 Afs 32/2007 - 52,2007-09-05,SupAdmCo, Pl. US 38/05,Pl-38-05_1.txt,2006-09-19,ConCo
0032_1Afs_0700052A_prevedeno.txt,1 Afs 32/2007 - 52,2007-09-05,SupAdmCo, IV. US 374/04,4-374-04_2.txt,2006-10-18,ConCo
0093_2Afs_0700085A_prevedeno.txt,2 Afs 93/2007 - 85,2008-01-17,SupAdmCo, II. US 664/04,2-664-04.txt,2006-04-18,ConCo
0095_0Nad_1800024_20180503101921_20180504094024_prevedeno.txt,Nad 95/2018 - 24,2018-04-18,SupAdmCo, I. US 722/05,1-722-05_2.txt,2007-03-07,ConCo
0082_7Afs_0500083A_prevedeno.txt,7 Afs 82/2005 - 83,2006-09-27,SupAdmCo, IV. US 662/02,4-662-02.txt,2002-11-21,ConCo
0082_7Afs_0500083A_prevedeno.txt,7 Afs 82/2005 - 83,2006-09-27,SupAdmCo, II. US 31/99,2-31-99.txt,1999-12-15,ConCo
0082_7Afs_0500083A_prevedeno.txt,7 Afs 82/2005 - 83,2006-09-27,SupAdmCo, II. US 157/97,2-157-97.txt,2000-06-27,ConCo
0051_6As__12_20121012034536_prevedeno.txt,6 As 51/2012 - 16,2012-09-19,SupAdmCo, II. US 2432/08,2-2432-08_1.txt,2009-03-05,ConCo
0090_2As__0800052A_prevedeno.txt,2 As 90/2008 - 52,2009-11-27,SupAdmCo, Pl. US 9/95,Pl-9-95_1.txt,1996-02-28,ConCo
0249_3As__1500037_20161013114529_prevedeno.txt,3 As 249/2015 - 37,2016-11-05,SupAdmCo, II. US 268/06,2-268-06_1.txt,2008-01-09,ConCo
0062_4Afs_1500071_20151222102909_prevedeno.txt,4 Afs 62/2015 - 71,2015-12-02,SupAdmCo, IV. US 201/04,4-201-04.txt,2005-01-05,ConCo
0062_4Afs_1500071_20151222102909_prevedeno.txt,4 Afs 62/2015 - 71,2015-12-02,SupAdmCo, II. US 2714/07,2-2714-07_2.txt,2008-08-06,ConCo
0259_7Afs_1500036_20151228112523_prevedeno.txt,7 Afs 259/2015 - 36,2015-11-26,SupAdmCo, III. US 84/94,3-84-94.txt,1995-06-20,ConCo
0259_7Afs_1500036_20151228112523_prevedeno.txt,7 Afs 259/2015 - 36,2015-11-26,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0259_7Afs_1500036_20151228112523_prevedeno.txt,7 Afs 259/2015 - 36,2015-11-26,SupAdmCo, I. US 1534/08,1-1534-08_1.txt,2008-12-17,ConCo
0094_3Ads_13_20140617091225_prevedeno.txt,3 Ads 94/2013 - 86,2014-06-11,SupAdmCo, III. US 103/99,3-103-99.txt,2000-02-03,ConCo
0094_3Ads_13_20140617091225_prevedeno.txt,3 Ads 94/2013 - 86,2014-06-11,SupAdmCo, I. US 60/01,1-60-01.txt,2001-08-28,ConCo
0098_9Afs_0700101A_prevedeno.txt,9 Afs 98/2007 - 101,2008-11-20,SupAdmCo, II. US 242/02,2-242-02.txt,2004-02-24,ConCo
0098_9Afs_0700101A_prevedeno.txt,9 Afs 98/2007 - 101,2008-11-20,SupAdmCo, Pl. US 72/06,Pl-72-06_1.txt,2008-01-29,ConCo
0082_2Afs_0900_e12656c6_3d41_433b_9e8b_cc977592ba89_prevedeno.txt,2 Afs 82/2009 - 55,2010-03-16,SupAdmCo, IV. US 666/02,4-666-02.txt,2003-12-15,ConCo
0001_0Pst_1500031_20160308131633_prevedeno.txt, Pst 1/2015 - 31,2016-02-23,SupAdmCo, Pl. US 26/94,Pl-26-94.txt,1995-10-18,ConCo
0131_5Afs_0700131A_prevedeno.txt,5 Afs 131/2007 - 131,2008-05-12,SupAdmCo, I. US 390/05,1-390-05.txt,2006-01-31,ConCo
0080_1Afs_100_20110316083916_prevedeno.txt,1 Afs 80/2010 - 170,2011-03-03,SupAdmCo, II. US 300/10,2-300-10_1.txt,2010-08-12,ConCo
0114_5Afs_0600056A_prevedeno.txt,5 Afs 114/2006 - 56,2007-12-20,SupAdmCo, I. US 425/01,1-425-01.txt,2004-05-12,ConCo
0181_7As__1500029_20150917072220_prevedeno.txt,7 As 181/2015 - 29,2015-08-20,SupAdmCo, III. US 84/94,3-84-94.txt,1995-06-20,ConCo
0181_7As__1500029_20150917072220_prevedeno.txt,7 As 181/2015 - 29,2015-08-20,SupAdmCo, I. US 741/06,1-741-06_1.txt,2007-04-11,ConCo
0255_5As__1500058_20160601084053_prevedeno.txt,5 As 255/2015 - 58,2016-05-26,SupAdmCo, Pl. US 40/02,Pl-40-02_1.txt,2003-06-11,ConCo
