source_file,docket_number,date,court,reference
0084_0Nao_0700061_20160223095238_prevedeno.txt,Nao 84/2007-61,2007-12-13,SupAdmCo,1 Cad 50/2005
0099_8Afs_0500081A_prevedeno.txt,8 Afs 99/2005-81,2007-03-16,SupAdmCo,1 Afs 54/2004
0004_6Ans_0900072A_prevedeno.txt,6 Ans 4/2009-72,2009-04-29,SupAdmCo,OSZ-51650-18/VD-N
0227_9Ads_1400003_prevedeno.txt,6 Ads 53/2009-89,2009-04-07,SupAdmCo,33 Cad 108/2006
0110_3Ads_110_20110926030139_prevedeno.txt,3 Ads 110/2011-52,2011-09-14,SupAdmCo,42 Cad 145/2007
0054_1As__1600013_20160412102512_prevedeno.txt,1 As 54/2016-13,2016-04-06,SupAdmCo,10 As 54/2015
0202_4As__1600021_20161102093712_prevedeno.txt,4 As 202/2016-21,2016-11-25,SupAdmCo,59 As 9/2014
0007_2Afs_0600107A_prevedeno.txt,2 Afs 7/2006-107,2006-11-25,SupAdmCo,1 Afs 54/2004
0105_5Azs_0800065A_prevedeno.txt,5 Azs 105/2008-65,2008-12-18,SupAdmCo,46 Az 5/2008
0278_6Azs_0400052A_prevedeno.txt,6 Azs 278/2004-52,2005-03-24,SupAdmCo,60 Az 238/2003
0036_2Azs_110_20120222024359_prevedeno.txt,2 Azs 36/2011-122,2012-02-17,SupAdmCo,10 Az 120/2003
0095_7Azs_1600031_20160817103459_prevedeno.txt,7 Azs 95/2016-31,2016-08-17,SupAdmCo,2 Azs 47/2003
0181_7As__1500029_20150917072220_prevedeno.txt,7 As 181/2015-29,2015-08-20,SupAdmCo,2 Azs 47/2003
0060_3Azs_0800092A_prevedeno.txt,3 Azs 60/2008-92,2008-11-30,SupAdmCo,3 Azs 12/2003
0242_4Afs_1400015_20150107124012_prevedeno.txt,4 Afs 242/2014-15,2014-12-30,SupAdmCo,15 Af 431/2012
0009_1Azs_13_20130905101819_prevedeno.txt,1 Azs 9/2013-36,2013-08-07,SupAdmCo,2 Azs 47/2003
0010_8Azs_0900091A_prevedeno.txt,8 Azs 10/2009-91,2009-03-31,SupAdmCo,7 Azs 20/2004
0010_8Azs_0900091A_prevedeno.txt,8 Azs 10/2009-91,2009-03-31,SupAdmCo,2 Azs 47/2003
0034_3Azs_0900087A_prevedeno.txt,3 Azs 34/2009-87,2009-09-02,SupAdmCo,3 Azs 12/2003
0190_4Ads_0800046A_prevedeno.txt,4 Ads 190/2008-46,2008-12-30,SupAdmCo,34 Cad 187/2007
0002_7As__0600033A_prevedeno.txt,7 As 2/2006-33,2007-03-23,SupAdmCo,42 Cad 108/2003
0091_1Afs_0400093A_prevedeno.txt,1 Afs 91/2004-93,2005-03-02,SupAdmCo,Sst 2/2003
0019_2Afs_1200009_prevedeno.txt,5 Afs 178/2006-81,2007-02-23,SupAdmCo,5 Afs 141-145/2004
0019_2Afs_1200009_prevedeno.txt,5 Afs 178/2006-81,2007-02-23,SupAdmCo,5 Afs 199-204/2004
0077_1Afs_1500124_20151020103828_prevedeno.txt,1 Afs 77/2015-124,2015-11-14,SupAdmCo,2 Ans 1/2005
0408_2Azs_0400072A_prevedeno.txt,2 Azs 408/2004-72,2005-11-06,SupAdmCo,59 Az 23/2003
0125_9Azs_0700054A_prevedeno.txt,9 Azs 125/2007-54,2007-11-21,SupAdmCo,55 Az 6/2006
0074_2Afs_110_20120124103928_prevedeno.txt,2 Afs 74/2011-61,2012-01-20,SupAdmCo,30 Af 107/2010
