soubor,spisovka,datum,soud,reference
0243_3Ads_1600053_20170522083858_prevedeno.txt,3 Ads 243/2016-53,2017-05-11,SupAdmCo,26 Cdo 5105/2015-531
000215Kse_13_20130617134118_prevedeno.txt,15 Kse 2/2013-66,2013-05-27,SupAdmCo,Rozh. 6 Tdo 366/2010
0162_5Azs_1500029_20151014111819_prevedeno.txt,5 Azs 162/2015-29,2015-11-08,SupAdmCo,26 Cdo 643/2001-51
0024_0Konf1700020_20180503104702_20180504084013_prevedeno.txt,Konf 24/2017-20,2018-04-24,SupAdmCo,30 Cdo 27/2017-74
0024_0Konf1700020_20180503104702_20180504084013_prevedeno.txt,Konf 24/2017-20,2018-04-24,SupAdmCo,30 Cdo 3035/2017-91
002311Konf0500014A_prevedeno.txt,Konf23/2005-14,2005-09-13,SupAdmCo,30 Cdo 1183/2004-198
0102_4Ads_120_20130326092352_prevedeno.txt,4 Ads 102/2012-18,2013-02-27,SupAdmCo,33 Cdo 4053/2010-180
0027_7As__0500064A_prevedeno.txt,7 As 27/2005-64,2006-01-19,SupAdmCo,25 Cdo 101/2000 a 22 Cdo 2480/2000
0073_4As__1800031_20180522123751_20180523092029_prevedeno.txt,4 As 73/2018-31,2018-04-27,SupAdmCo,11 Tdo 19/2015-63
0022_2As__100_20110302092022_prevedeno.txt,2 As 22/2010-194,2011-02-28,SupAdmCo,21 Cdo 2207/2003-187
0016_7Afs_120_20120709032013_prevedeno.txt,7 Afs 16/2012-40,2012-06-07,SupAdmCo,21 Cdo 1486/2005 a 21 Cdo 3488/2006
0259_8As__1600048_20180903154931_20180904124022_prevedeno.txt,8 As 259/2016-48,2018-08-15,SupAdmCo,7 Tdo 1116/2012-42
000915Kse_12_20130617115728_prevedeno.txt,15 Kse 9/2012-137,2013-05-27,SupAdmCo,Rozh. 6 Tdo 366/2010
0031_8Afs_100_20110106080958_prevedeno.txt,8 Afs 31/2010-34,2010-12-29,SupAdmCo,29 Cdo 4730/2007-33
0093_1As__090_20110222105445_prevedeno.txt,1 As 93/2009-212,2011-01-27,SupAdmCo,a 30 Cdo 450/2002
000512Ksz_1700067_20171221092155_20171221104016_prevedeno.txt,12 Ksz 5/2017-67,2017-11-28,SupAdmCo,3 Tdo 772/2015-83
