source_file,docket_number,date,court,reference,source_file2,date2,court2
0249_3As__1500037_20161013114529_prevedeno.txt,3 As 249/2015 - 37,2016-11-05,SupAdmCo,22 Cdo 2191/2002,rozhodnuti-22_Cdo_2191_2002.txt,2003-10-07,SupCo
0249_3As__1500037_20161013114529_prevedeno.txt,3 As 249/2015 - 37,2016-11-05,SupAdmCo,22 Cdo 1173/2005,rozhodnuti-22_Cdo_1173_2005.txt,2006-02-21,SupCo
022510As__1600057_20170206092306_prevedeno.txt,10 As 225/2016 - 57,2017-01-19,SupAdmCo,25 Cdo 4185/2014,rozhodnuti-25_Cdo_4185_2014.txt,2015-04-08,SupCo
0361_1As__1600075_20171027083619_prevedeno.txt,1 As 361/2016 - 75,2017-11-11,SupAdmCo,22 Cdo 3138/2010,rozhodnuti-22_Cdo_3138_2010.txt,2012-09-25,SupCo
0126_1As__1200_20130111134745_prevedeno.txt,Spis 1 As 126/2012 byl spojen se spisem ĭslo 1 As 125/2012 a pod touto spisovou znakou bylo,2012-12-19,SupAdmCo,22 Cdo 657/2003,rozhodnuti-22_Cdo_657_2003.txt,2003-05-20,SupCo
0018_8As__120_20120604082558_prevedeno.txt,8 As 18/2012 - 41,2012-05-30,SupAdmCo,20 Cdo 3365/2006,rozhodnuti-20_Cdo_3365_2006.txt,2008-07-24,SupCo
0104_0Konf0900_885efb04_160a_46cb_91c1_8b040448a361_prevedeno.txt,Konf 104/2009 - 12,2009-11-16,SupAdmCo,33 Cdo 2894/2008,rozhodnuti-33_Cdo_2894_2008.txt,2009-03-31,SupCo
0053_0Konf0900_f62c2586_3de8_411b_83d5_34cddba59dc3_prevedeno.txt,Konf 53/2009 - 13,2009-11-13,SupAdmCo,33 Cdo 2894/2008,rozhodnuti-33_Cdo_2894_2008.txt,2009-03-31,SupCo
0013_9Afs_1000_20101011084204_prevedeno.txt,9 Afs 13/2010 - 73,2010-11-06,SupAdmCo,29 Cdo 4282/2008,rozhodnuti-29_Cdo_4282_2008.txt,2009-01-27,SupCo
0013_9Afs_1000_20101011084204_prevedeno.txt,9 Afs 13/2010 - 73,2010-11-06,SupAdmCo,29 Cdo 2072/2000,rozhodnuti-29_Cdo_2072_2000.txt,2001-12-11,SupCo
0099_6Ads_120_20130612150159_prevedeno.txt,6 Ads 99/2012 - 101,2013-05-15,SupAdmCo,26 Cdo 1331/2000,rozhodnuti-26_Cdo_1331_2000.txt,2001-11-14,SupCo
0010_8Afs_0500253A_prevedeno.txt,8 Afs 10/2005-253,2006-11-30,SupAdmCo,20 Cdo 1888/98,rozhodnuti-20_Cdo_1888_98.txt,2000-07-31,SupCo
0048_0Konf0900017A_prevedeno.txt,Konf 48/2009 - 17,2009-11-12,SupAdmCo,33 Cdo 2894/2008,rozhodnuti-33_Cdo_2894_2008.txt,2009-03-31,SupCo
0243_3Ads_1600053_20170522083858_prevedeno.txt,3 Ads 243/2016 - 53,2017-05-11,SupAdmCo,26 Cdo 2290/2011,rozhodnuti-26_Cdo_2290_2011.txt,2011-12-07,SupCo
0243_3Ads_1600053_20170522083858_prevedeno.txt,3 Ads 243/2016 - 53,2017-05-11,SupAdmCo,22 Cdo 740/99,rozhodnuti-22_Cdo_740_99.txt,2000-11-10,SupCo
0243_3Ads_1600053_20170522083858_prevedeno.txt,3 Ads 243/2016 - 53,2017-05-11,SupAdmCo,26 Cdo 2249/2015,rozhodnuti-26_Cdo_2249_2015.txt,2016-05-24,SupCo
0032_0Konf0900_678c7db4_7b49_4743_80ce_2409dd95dcb1_prevedeno.txt,Konf 32/2009 - 16,2009-12-31,SupAdmCo,33 Cdo 2894/2008,rozhodnuti-33_Cdo_2894_2008.txt,2009-03-31,SupCo
000111Kseo1000080A_prevedeno.txt,11 Kseo 1/2010 - 80,2010-09-01,SupAdmCo,5 Tdo 166/2006,rozhodnuti-5_Tdo_166_2006.txt,2006-02-15,SupCo
0162_5Azs_1500029_20151014111819_prevedeno.txt,5 Azs 162/2015 - 29,2015-11-08,SupAdmCo,21 Cdo 2301/2012,rozhodnuti-21_Cdo_2301_2012.txt,2012-10-26,SupCo
