source_file,docket_number,date,court,reference
0088_9Afs_12_20131014155431_prevedeno.txt,9  Afs  88/2012  -  43,2013-09-18,SupAdmCo,c. j. F?ò-8423/13/05
0088_9Afs_12_20131014155431_prevedeno.txt,9  Afs  88/2012  -  43,2013-09-18,SupAdmCo,c. j. 8 Ca 47/2006 - 20
0088_9Afs_12_20131014155431_prevedeno.txt,9  Afs  88/2012  -  43,2013-09-18,SupAdmCo,c. j. F?ò-15014/13/06
0134_1Afs_0400095A_prevedeno.txt,1  Afs  134/2004-95,2005-05-11,SupAdmCo, in: Soudni judikatura ve vecech spravnich
0104_2As__120_20121102084519_prevedeno.txt,2  As  104/2012  -  35,2012-11-30,SupAdmCo,Handyside proti Spojen?©mu kralovstvi
0104_2As__120_20121102084519_prevedeno.txt,2  As  104/2012  -  35,2012-11-30,SupAdmCo,c. 30814/06
0096_1Afs_1600028_20160530144920_prevedeno.txt,1  Afs  96/2016  -  28,2016-05-25,SupAdmCo,Mahag?©ben kft a Peter David proti Nemzeti Ad??- ?©s Vamhivatal ?âszak-alf?∂ldi Regionalis Ad??
0099_8Afs_0500081A_prevedeno.txt,8  Afs  99/2005  -  81,2007-03-16,SupAdmCo,Afs 154/2005 - 245
0047_5Afs_0400053A_prevedeno.txt,5  Afs  47/2004  -  53,2005-05-27,SupAdmCo,c. j. 38 Ca 494/2001
0012_8Afs_1400101_20150324082506_prevedeno.txt,8  Afs  12/2014  -  101,2015-03-16,SupAdmCo,Ve veci MKG-Kraftfahrzeuge-Factoring
0012_8Afs_1400101_20150324082506_prevedeno.txt,8  Afs  12/2014  -  101,2015-03-16,SupAdmCo,C-93/10
0012_8Afs_1400101_20150324082506_prevedeno.txt,8  Afs  12/2014  -  101,2015-03-16,SupAdmCo,C-246/08
0012_8Afs_1400101_20150324082506_prevedeno.txt,8  Afs  12/2014  -  101,2015-03-16,SupAdmCo,Komise proti Finsku
0012_8Afs_1400101_20150324082506_prevedeno.txt,8  Afs  12/2014  -  101,2015-03-16,SupAdmCo,C-408/98
0012_8Afs_1400101_20150324082506_prevedeno.txt,8  Afs  12/2014  -  101,2015-03-16,SupAdmCo,cj. 87255/05/233912
0041_3Ads_0400104A_prevedeno.txt,3  Ads  41/2004  -  104,2005-08-17,SupAdmCo,c. j. 38 Ca 267/99 - 92
0004_6Ans_0900072A_prevedeno.txt,6  Ans  4/2009  -  72,2009-04-29,SupAdmCo,c. j. 11 Ca 336/2007 - 36
0004_6Ans_0900072A_prevedeno.txt,6  Ans  4/2009  -  72,2009-04-29,SupAdmCo,c. j. OSZ - 51650 - 27/OM - Ma - 2007
0124_3Ads_120_20131031133420_prevedeno.txt,3  Ads  124/2012  -  129,2013-11-30,SupAdmCo,c. 644/2008
0060_9As__1500039_20150813110724_prevedeno.txt,9  As  60/2015  -  39,2015-08-13,SupAdmCo,73/2007 - 111
0060_9As__1500039_20150813110724_prevedeno.txt,9  As  60/2015  -  39,2015-08-13,SupAdmCo,5 Ca 298/2008 - 52
0043_4Azs_0600062A_prevedeno.txt,4  Azs  43/2006  -  62,2006-12-14,SupAdmCo,c. j. SCPP-6498/E2-2006
0228_3Azs_0500054A_prevedeno.txt,3  Azs  228/2005  -  54,2005-12-07,SupAdmCo,sti??nosti proti rozhodnuti soudu o ??alobe proti rozhodnuti ministerstva ve veci azylu a navrhu na priznani odkladn?©ho
0037_2As__0500070A_prevedeno.txt,2  As  37/2005  -  70,2006-05-03,SupAdmCo,c. j. P- 154/93-194
0090_7Azs_0800071A_prevedeno.txt,7  Azs  90/2008  -  71,2009-01-15,SupAdmCo,Azs 90/2008 - 74
0048_4Azs_0700076A_prevedeno.txt,4  Azs  48/2007  -  76,2007-09-25,SupAdmCo,Konevova 188/32
0048_4Azs_0700076A_prevedeno.txt,4  Azs  48/2007  -  76,2007-09-25,SupAdmCo,c. j. SCPP- 12-1469/PH-XIII-C-2007
0048_4Azs_0700076A_prevedeno.txt,4  Azs  48/2007  -  76,2007-09-25,SupAdmCo,c. j. SCPP-6-384/PH-OPK3-2007
0011_6Ads_120_20120611044547_prevedeno.txt,6  Ads  11/2012  -  36,2012-05-17,SupAdmCo,c. j. 1 SV 13/2009 - 1
0011_6Ads_120_20120611044547_prevedeno.txt,6  Ads  11/2012  -  36,2012-05-17,SupAdmCo,c. VS - 6384/2009
0011_6Ads_120_20120611044547_prevedeno.txt,6  Ads  11/2012  -  36,2012-05-17,SupAdmCo,c. j. 1 SV 13/2009 - 76
0011_6Ads_120_20120611044547_prevedeno.txt,6  Ads  11/2012  -  36,2012-05-17,SupAdmCo,c. j. KRPH83/DNRK - 2009 - ZI - Tƒå
0098_9Afs_0900_41306604_97d0_49e4_a58d_973c6479fa6b_prevedeno.txt,9  Afs  98/2009  -  313,2010-02-25,SupAdmCo,C-397/01 a?? C-403/01
0098_9Afs_0900_41306604_97d0_49e4_a58d_973c6479fa6b_prevedeno.txt,9  Afs  98/2009  -  313,2010-02-25,SupAdmCo,C-409/04
0022_1As__0600099A_prevedeno.txt,1  As  22/2006  -  99,2006-11-04,SupAdmCo,svazek c. 8
0022_5As__0800064A_prevedeno.txt,5  As  22/2008  -  64,2009-03-06,SupAdmCo,c. j. 51 Ca 9/2006 - 27
0018_3As__0500053A_prevedeno.txt,3  As  18/2005  -  53,2005-05-11,SupAdmCo,c. j. 6 Ca 75/2003 - 36
0010_5Ans_100_20101216010536_prevedeno.txt,5  Ans  10/2010  -  157,2010-12-09,SupAdmCo,c. j. 62 Ca 35/2007 - 153
0123_7As__130_20140218111709_prevedeno.txt,7  As  123/2013  -  28,2014-01-23,SupAdmCo,As 58/2005 - 125
0123_7As__130_20140218111709_prevedeno.txt,7  As  123/2013  -  28,2014-01-23,SupAdmCo,sp. zn. SU/1177/99-Sa
0123_7As__130_20140218111709_prevedeno.txt,7  As  123/2013  -  28,2014-01-23,SupAdmCo,sp.zn. SU/1177/99-Sa
0095_9Afs_0700060A_prevedeno.txt,9  Afs  95/2007  -  60,2007-05-16,SupAdmCo,c. j. 31 Ca 94/2006 - 29
0053_8As__0600051A_prevedeno.txt,8  As  53/2006  -  51,2008-06-04,SupAdmCo,cj. 29 Ca 232/2004 - 28
0032_1Afs_0700052A_prevedeno.txt,1  Afs  32/2007  -  52,2007-09-05,SupAdmCo,ve veci Bulena proti ƒåesk?©
0032_1Afs_0700052A_prevedeno.txt,1  Afs  32/2007  -  52,2007-09-05,SupAdmCo,Manibardo proti ?†panelsku
0078_2Azs_0700095A_prevedeno.txt,2  Azs  78/2007  -  95,2007-09-27,SupAdmCo,Az 227/2006 - 81
0070_4As__120_20130828141252_prevedeno.txt,4  As  70/2012  -  54,2013-07-31,SupAdmCo,c. j. 4 T 189/2009 - 44
0070_4As__120_20130828141252_prevedeno.txt,4  As  70/2012  -  54,2013-07-31,SupAdmCo,sp. zn. 4 T 189/2009
0070_4As__120_20130828141252_prevedeno.txt,4  As  70/2012  -  54,2013-07-31,SupAdmCo,c. j. CPPH-02690/CI-2010-66
0070_4As__120_20130828141252_prevedeno.txt,4  As  70/2012  -  54,2013-07-31,SupAdmCo,c. j. 4 T 189/2009 - 54
0070_4As__120_20130828141252_prevedeno.txt,4  As  70/2012  -  54,2013-07-31,SupAdmCo,s. 633 - 643
0095_0Nad_1800024_20180503101921_20180504094024_prevedeno.txt,Nad  95/2018  -  24,2018-04-18,SupAdmCo,ci usneseni NSS
0226_9As__1500044_20160331115959_prevedeno.txt,9  As  226/2015  -  44,2016-03-31,SupAdmCo,ve veci Hermi proti Italii
0226_9As__1500044_20160331115959_prevedeno.txt,9  As  226/2015  -  44,2016-03-31,SupAdmCo,sti??nosti c. 9562/81 a 9818/82
0105_5Azs_0800065A_prevedeno.txt,5  Azs  105/2008  -  65,2008-12-18,SupAdmCo,Azs 105/2008 - 66
