source_file,docket_number,date,court,reference
rozhodnuti-5_Tdo_1300_2013.txt,5 Tdo 1300/2013,2014-01-29,SupCo,1 NZA 1026/2011
rozhodnuti-3_Tdo_1466_2017.txt,3 Tdo 1466/2017,2017-12-20,SupCo,58A 42/2013
rozhodnuti-3_Tdo_1466_2017.txt,3 Tdo 1466/2017,2017-12-20,SupCo,4A 112/2015-35
rozhodnuti-3_Tdo_1466_2017.txt,3 Tdo 1466/2017,2017-12-20,SupCo,ve veci 58A 42/2013-15
rozhodnuti-28_Cdo_5450_2015.txt,28 Cdo 5450/2015,2016-03-30,SupCo,1 As 23/2009-103 
rozhodnuti-8_Tdo_532_2016.txt,8 Tdo 532/2016,2016-05-25,SupCo,8 As 17/2007-135
rozhodnuti-29_Cdo_969_2017.txt,29 Cdo 969/2017,2017-07-31,SupCo,5 Ads 11/2004
rozhodnuti-29_NSCR_30_2017.txt,29 NSCR 30/2017,2017-03-30,SupCo,KSPA 44 INS 18397/2014-B-60
rozhodnuti-22_Cdo_3542_2013.txt,22 Cdo 3542/2013,2014-02-25,SupCo,6A 76/2001
rozhodnuti-5_Tdo_549_2012.txt,5 Tdo 549/2012,2012-05-30,SupCo,OSDA 1849/10/6705/2009-466
rozhodnuti-5_Tdo_549_2012.txt,5 Tdo 549/2012,2012-05-30,SupCo,OSDA 44541/09/6705/2009-466
rozhodnuti-5_Tdo_549_2012.txt,5 Tdo 549/2012,2012-05-30,SupCo,OSDA 14208/10/6705/2009-466
rozhodnuti-5_Tdo_549_2012.txt,5 Tdo 549/2012,2012-05-30,SupCo,OSDA 12482/09/702/2009-445
rozhodnuti-30_Cdo_530_2014.txt,30 Cdo 530/2014,2015-07-30,SupCo,9 Afs 21/2010 a 9 Afs 22/2010
rozhodnuti-5_Tdo_1105_2009.txt,5 Tdo 1105/2009,2010-04-28,SupCo,9 Afs 127/2007-286
rozhodnuti-29_NSCR_5_2008.txt,29 NSCR 5/2008,2008-10-29,SupCo,KSBR 40 INS 221/2008-A-16
rozhodnuti-30_Cdo_3587_2016.txt,30 Cdo 3587/2016,2018-06-27,SupCo,2 As 22/2007-199
rozhodnuti-30_Cdo_3587_2016.txt,30 Cdo 3587/2016,2018-06-27,SupCo,2 Afs 144/2004-110
rozhodnuti-33_Cdo_2966_2012.txt,33 Cdo 2966/2012,2014-08-22,SupCo,Konf 62/2012-45
rozhodnuti-4_Tdo_1522_2016.txt,4 Tdo 1522/2016,2016-12-13,SupCo,31 Spr 376/2016
rozhodnuti-4_Tdo_1522_2016.txt,4 Tdo 1522/2016,2016-12-13,SupCo,31 Spr 795/2016
rozhodnuti-6_Tdo_983_2010.txt,6 Tdo 983/2010,2011-02-23,SupCo,59 Az 156/2005
rozhodnuti-21_Cdo_3182_2014.txt,21 Cdo 3182/2014,2014-10-23,SupCo,60 INS 29148/2013-A-11
rozhodnuti-6_Tdo_565_2007.txt,6 Tdo 565/2007,2007-05-31,SupCo,1 NZA 1122/2005
rozhodnuti-29_Cdo_3138_2015.txt,29 Cdo 3138/2015,2017-10-03,SupCo,KSPA 44 INS 27521/2014-A-8
rozhodnuti-29_Cdo_3138_2015.txt,29 Cdo 3138/2015,2017-10-03,SupCo,KSPA 44 INS 27521/2014-B-18
rozhodnuti-6_Tdo_473_2011.txt,6 Tdo 473/2011,2011-04-28,SupCo,Spr 478/2011
