soubor,spisovka,datum,soud,reference,soubor2,datum2,soud2
rozhodnuti-11_Tdo_1295_2010.txt,11 Tdo 1295/2010,2011-01-31,SupCo,2 As 78/2006,0078_2As__0600064A_prevedeno.txt,2007-05-16,SupAdmCo
rozhodnuti-28_Cdo_691_2010.txt,28 Cdo 691/2010,2011-11-09,SupCo,5 As 17/2007-60,0017_5As__0700060A_prevedeno.txt,2007-06-26,SupAdmCo
rozhodnuti-28_Cdo_691_2010.txt,28 Cdo 691/2010,2011-11-09,SupCo,4 As 47/2003,0047_4As__0300136A_prevedeno.txt,2004-12-20,SupAdmCo
rozhodnuti-28_Cdo_691_2010.txt,28 Cdo 691/2010,2011-11-09,SupCo,Konf 4/2007-6,000411Konf0700006A_prevedeno.txt,2007-06-08,SupAdmCo
rozhodnuti-5_Tdo_1392_2012.txt,5 Tdo 1392/2012,2013-04-24,SupCo,5 Afs 20/2010,0020_5Afs_100_20110408100244_prevedeno.txt,2011-03-24,SupAdmCo
rozhodnuti-32_Cdo_2508_2014.txt,32 Cdo 2508/2014,2016-05-17,SupCo,2 Afs 58/2007,0044_8Afs_1200002_prevedeno.txt,2007-09-20,SupAdmCo
rozhodnuti-22_Cdo_1679_2015.txt,22 Cdo 1679/2015,2015-05-27,SupCo,1 Ans 3/2012-34,0003_1Ans_12_20120802115147_prevedeno.txt,2012-07-11,SupAdmCo
rozhodnuti-22_Cdo_1679_2015.txt,22 Cdo 1679/2015,2015-05-27,SupCo,2 As 8/2013-11,0008_2As__130_20130320135426_prevedeno.txt,2013-03-08,SupAdmCo
rozhodnuti-8_Tdo_1509_2014.txt,8 Tdo 1509/2014,2015-01-14,SupCo,As 72/2014,0072_6As__1400088_20150310102611_prevedeno.txt,2015-03-04,SupAdmCo
rozhodnuti-30_Cdo_2344_2010.txt,30 Cdo 2344/2010,2012-01-18,SupCo,6 Ans 2/2005-68,0002_6Ans_0500068A_prevedeno.txt,2006-04-20,SupAdmCo
rozhodnuti-6_Tdo_706_2018.txt,6 Tdo 706/2018,2018-06-13,SupCo,1 As 106/2010-83,0106_1As__1000083A_prevedeno.txt,2012-01-24,SupAdmCo
rozhodnuti-6_Tdo_706_2018.txt,6 Tdo 706/2018,2018-06-13,SupCo,2 Azs 231/2016,0231_2Azs_1600029_20161124153853_prevedeno.txt,2016-11-23,SupAdmCo
rozhodnuti-6_Tdo_706_2018.txt,6 Tdo 706/2018,2018-06-13,SupCo,9 As 131/2011-63,0131_9As__1100063A_prevedeno.txt,2013-07-30,SupAdmCo
rozhodnuti-30_Cdo_802_2016.txt,30 Cdo 802/2016,2016-08-31,SupCo,4 Azs 390/2005,0390_4Azs_0500098A_prevedeno.txt,2006-01-18,SupAdmCo
rozhodnuti-30_Cdo_802_2016.txt,30 Cdo 802/2016,2016-08-31,SupCo,3 Ads 26/2005,0026_3Ads_0500036A_prevedeno.txt,2006-01-04,SupAdmCo
rozhodnuti-8_Tdo_532_2016.txt,8 Tdo 532/2016,2016-05-25,SupCo,4 Afs 210/2014,0210_4Afs_1400070_20160113090923_prevedeno.txt,2015-12-16,SupAdmCo
rozhodnuti-29_Cdo_969_2017.txt,29 Cdo 969/2017,2017-07-31,SupCo,1 As 23/2009,0023_1As__0900103A_prevedeno.txt,2010-09-09,SupAdmCo
rozhodnuti-7_Tdo_755_2016.txt,7 Tdo 755/2016,2017-02-16,SupCo,4 Afs 210/2014,0210_4Afs_1400070_20160113090923_prevedeno.txt,2015-12-16,SupAdmCo
rozhodnuti-4_Tdo_648_2018.txt,4 Tdo 648/2018,2018-06-26,SupCo,9 As 96/2008,0096_9As__0800044A_prevedeno.txt,2009-08-06,SupAdmCo
rozhodnuti-4_Tdo_648_2018.txt,4 Tdo 648/2018,2018-06-26,SupCo,5 As 26/2010,0026_5As__1000_d23a7441_d83c_4979_b038_b2614eaffcbe_prevedeno.txt,2010-07-15,SupAdmCo
rozhodnuti-33_Cdo_874_2012.txt,33 Cdo 874/2012,2013-08-22,SupCo,Konf 31/2007,0031_0Konf0700082A_prevedeno.txt,2008-05-21,SupAdmCo
rozhodnuti-33_Cdo_874_2012.txt,33 Cdo 874/2012,2013-08-22,SupCo,Konf 27/2008,0027_0Konf0800007A_prevedeno.txt,2008-09-09,SupAdmCo
rozhodnuti-21_Cdo_5743_2017.txt,21 Cdo 5743/2017,2018-01-31,SupCo,1 As 23/2009-95,0023_1As__0900_43c992a2_b861_4e5f_8dd2_917c602f2396_prevedeno.txt,2010-08-24,SupAdmCo
rozhodnuti-8_Tdo_514_2014.txt,8 Tdo 514/2014,2014-05-07,SupCo,8 As 89/2011,0089_8As__110_20120306041133_prevedeno.txt,2012-02-17,SupAdmCo
rozhodnuti-5_Tdo_974_2015.txt,5 Tdo 974/2015,2015-09-29,SupCo,Afs 20/2010,0020_5Afs_100_20110408100244_prevedeno.txt,2011-03-24,SupAdmCo
rozhodnuti-28_Cdo_2155_2012.txt,28 Cdo 2155/2012,2013-04-24,SupCo,5 As 62/2008,0062_5As__0800059A_prevedeno.txt,2009-09-11,SupAdmCo
rozhodnuti-32_Cdo_2712_2013.txt,32 Cdo 2712/2013,2015-08-26,SupCo,1 As 149/2013,0149_1As__13_20140527072117_prevedeno.txt,2014-05-14,SupAdmCo
rozhodnuti-22_Cdo_603_2014.txt,22 Cdo 603/2014,2014-03-19,SupCo,1 As 23/2009-95,0023_1As__0900_43c992a2_b861_4e5f_8dd2_917c602f2396_prevedeno.txt,2010-08-24,SupAdmCo
